weathercode,temperature_2m_min,temperature_2m_max,temperature_2m_mean,apparent_temperature_min,apparent_temperature_max,apparent_temperature_mean,relative_humidity_2m_mean,sunshine_duration,shortwave_radiation_sum,uv_index_max,et0_fao_evapotranspiration,rain_sum,precipitation_hours,cloud_cover_min,cloud_cover_max,cloud_cover_mean,windspeed_10m_max,windgusts_10m_max,record_date
3,6.8,15.1,11.1,3.7,13.6,8.9,62,39600.0,22.95,6.3,3.46,0.0,0.0,2,89,24,11.8,32.0,2025-04-05
2,11.4,17.5,14.0,9.6,16.3,12.7,78,29900.26,13.51,5.05,2.25,0.0,0.0,1,74,30,12.7,40.7,2025-04-06
53,10.6,17.5,13.3,8.0,17.0,11.8,69,25804.45,15.7,6.7,2.71,1.1,4.0,0,100,43,9.3,26.6,2025-04-07
3,7.4,18.5,13.3,5.4,18.5,11.7,63,40466.01,23.13,7.1,3.71,0.0,0.0,0,85,24,12.5,50.0,2025-04-08
3,9.6,21.0,14.8,8.1,21.9,13.3,61,40673.58,23.93,7.05,4.1,0.0,0.0,0,85,11,15.0,38.5,2025-04-09
63,10.1,19.8,14.8,9.1,20.0,14.4,80,26116.35,17.1,6.5,2.81,9.5,4.0,8,95,46,11.4,46.4,2025-04-10
63,12.5,18.2,14.9,12.1,18.9,14.9,85,10805.79,11.36,4.5,1.97,9.8,8.0,25,98,73,9.5,32.0,2025-04-11
2,11.8,19.4,14.6,10.3,20.1,13.4,74,36922.03,21.03,7.1,3.49,0.0,0.0,9,57,29,11.7,37.1,2025-04-12
61,11.2,14.1,12.8,10.5,13.4,11.8,89,0.0,3.03,1.6,0.71,13.5,15.0,53,100,85,15.0,39.2,2025-04-13
63,13.6,20.9,16.6,11.0,21.3,15.5,70,38749.65,20.5,7.3,3.87,8.3,5.0,0,98,35,18.1,54.4,2025-04-14
51,11.8,19.4,15.6,9.2,18.8,13.1,58,36493.16,19.48,7.2,3.94,0.5,2.0,0,99,34,19.3,65.2,2025-04-15
0,8.4,18.4,13.6,5.7,16.7,11.3,46,41244.21,24.84,7.2,4.16,0.0,0.0,0,8,1,12.4,37.4,2025-04-16
3,8.2,22.6,15.3,5.7,22.5,14.3,62,41380.05,23.92,7.25,4.19,0.0,0.0,0,84,8,13.1,62.3,2025-04-17
3,11.5,22.2,16.9,10.9,24.0,17.1,78,39958.23,19.72,5.8,3.39,0.0,0.0,0,97,47,9.9,41.8,2025-04-18
3,12.9,24.8,17.5,13.1,27.9,18.9,89,29206.18,20.25,7.5,3.53,0.0,0.0,0,100,40,8.6,32.4,2025-04-19
3,16.2,21.9,18.4,16.7,22.7,19.1,82,22265.65,13.76,4.45,2.56,0.0,0.0,24,100,81,10.2,51.8,2025-04-20
53,13.2,22.6,17.3,12.5,24.1,17.0,68,40777.2,25.22,7.3,4.46,1.8,3.0,0,71,19,10.7,28.4,2025-04-21
3,11.1,21.2,16.4,10.7,22.7,16.4,79,39800.44,23.19,7.4,3.85,0.0,0.0,4,86,36,13.1,55.4,2025-04-22
61,15.7,17.5,16.4,14.6,19.9,16.9,93,0.0,1.59,2.5,0.58,9.1,14.0,53,100,88,14.8,40.7,2025-04-23
3,15.5,22.0,17.8,16.4,23.8,19.2,89,23633.33,15.0,7.5,2.63,0.0,0.0,23,100,67,7.6,25.9,2025-04-24
3,15.1,20.5,17.4,15.4,21.7,18.5,87,8330.67,10.68,4.9,1.95,0.0,0.0,39,100,74,7.6,25.6,2025-04-25
51,11.6,17.0,14.4,10.6,15.9,13.0,65,29891.62,17.06,7.4,2.95,0.2,2.0,0,71,40,9.4,29.2,2025-04-26
3,9.4,21.4,15.8,8.0,23.1,15.2,70,42134.24,25.92,7.6,4.28,0.0,0.0,0,83,22,13.2,50.8,2025-04-27
63,13.5,20.8,16.5,13.2,20.4,16.5,78,10943.89,10.81,6.85,2.12,18.4,9.0,25,100,75,9.4,55.1,2025-04-28
61,12.6,21.6,16.6,9.8,22.4,15.8,65,40650.25,23.66,7.4,4.36,2.6,3.0,0,98,32,14.0,37.8,2025-04-29
0,11.1,22.0,16.4,7.4,22.6,14.8,52,43755.29,26.72,7.55,5.03,0.0,0.0,0,13,1,14.2,39.6,2025-04-30
3,11.2,23.0,17.0,10.5,25.3,17.1,76,41852.86,25.14,7.1,4.34,0.0,0.0,0,83,27,11.1,39.2,2025-05-01
65,14.6,17.5,16.1,12.0,17.7,15.5,85,0.0,4.52,2.2,1.16,69.5,13.0,10,100,78,22.7,71.6,2025-05-02
2,14.8,22.8,18.1,12.3,23.8,17.3,63,41427.31,25.83,7.9,4.9,0.0,0.0,0,67,13,16.9,45.7,2025-05-03
3,13.0,23.8,17.7,13.3,26.6,18.5,79,36810.11,21.28,7.2,3.94,0.0,0.0,5,90,41,11.9,49.7,2025-05-04
3,11.7,21.8,16.8,11.1,23.4,16.4,69,42794.33,25.08,7.9,4.36,0.0,0.0,0,100,22,10.9,37.1,2025-05-05
63,13.6,16.6,14.7,12.8,15.6,14.0,84,0.0,2.65,0.85,0.86,19.3,13.0,48,100,80,11.9,43.6,2025-05-06
63,13.7,23.5,17.9,13.9,24.0,17.7,67,34913.18,24.48,7.9,4.47,5.9,2.0,0,99,47,12.0,49.0,2025-05-07
2,12.8,21.2,16.7,10.6,22.0,15.6,59,41733.89,22.94,7.6,4.17,0.0,0.0,4,50,25,9.4,28.4,2025-05-08
53,14.5,22.0,17.5,14.6,22.9,17.8,79,24522.87,16.12,5.7,2.99,2.3,4.0,29,100,74,13.7,37.4,2025-05-09
61,15.8,21.8,18.8,15.4,23.6,20.2,92,2110.25,4.19,2.3,0.96,7.6,12.0,83,100,95,14.3,55.1,2025-05-10
51,16.0,24.9,20.2,17.0,27.3,21.5,74,37558.45,21.67,7.6,4.07,0.6,2.0,18,100,71,7.8,34.6,2025-05-11
61,15.5,19.1,17.0,15.8,20.2,17.6,85,4110.09,9.9,5.15,1.82,7.9,9.0,37,99,66,10.6,26.3,2025-05-12
3,14.6,23.6,18.8,15.5,26.0,19.7,76,40823.62,24.15,7.4,4.35,0.0,0.0,0,100,34,7.5,23.4,2025-05-13
3,14.9,23.3,18.8,15.8,24.8,20.1,84,32392.32,17.46,5.7,3.15,0.0,0.0,0,100,43,6.4,17.6,2025-05-14
3,15.7,23.9,19.3,17.2,26.4,21.0,85,30607.69,18.79,7.45,3.5,0.0,0.0,6,100,65,9.0,29.5,2025-05-15
51,16.5,22.9,19.7,17.7,25.1,21.0,81,22085.45,15.73,5.65,2.99,0.1,1.0,27,99,61,9.8,29.9,2025-05-16
65,18.5,22.2,20.3,19.5,25.1,22.2,91,0.0,2.85,1.25,0.77,31.0,14.0,43,100,84,15.9,71.6,2025-05-17
3,20.7,27.6,23.6,23.4,31.6,26.7,83,31162.66,17.33,7.45,3.47,0.0,0.0,0,97,62,9.8,46.1,2025-05-18
51,17.0,20.2,18.6,18.1,23.3,20.0,87,0.0,6.31,1.15,1.37,0.3,2.0,61,100,88,10.3,41.8,2025-05-19
3,16.5,28.8,22.9,17.5,33.4,25.1,73,44831.83,26.51,8.15,5.19,0.0,0.0,0,100,30,9.8,49.7,2025-05-20
3,18.0,27.0,21.8,19.9,32.1,24.9,89,32715.47,22.71,6.9,4.12,0.0,0.0,16,100,66,11.4,54.4,2025-05-21
53,17.2,25.9,21.7,17.4,29.4,24.4,88,21121.95,16.1,6.05,3.08,0.9,3.0,30,100,80,11.0,42.8,2025-05-22
3,15.9,22.2,18.2,15.6,22.8,17.9,70,26298.04,17.11,5.65,3.4,0.0,0.0,52,100,82,11.2,32.8,2025-05-23
61,14.7,19.5,16.9,14.1,19.2,16.6,79,2095.38,8.93,4.45,1.94,2.6,4.0,37,100,74,9.7,30.2,2025-05-24
63,14.9,23.9,18.3,15.1,27.5,19.5,86,4428.84,10.83,5.0,2.12,20.0,9.0,44,100,75,9.6,27.4,2025-05-25
3,16.6,21.1,18.8,15.3,20.8,17.6,58,3824.58,10.91,6.7,2.93,0.0,0.0,31,94,67,13.4,23.4,2025-05-26
3,15.1,19.9,17.4,14.8,19.1,17.3,75,3422.33,9.66,5.05,2.08,0.0,0.0,23,100,73,9.7,27.0,2025-05-27
53,15.6,24.8,19.4,15.9,28.0,20.0,71,40932.7,24.9,8.2,4.58,1.7,2.0,2,97,45,11.2,34.2,2025-05-28
61,15.8,22.0,18.7,16.4,22.9,19.3,74,13781.56,13.54,6.4,2.6,1.9,2.0,19,100,71,6.9,23.0,2025-05-29
63,14.8,17.1,16.0,13.8,17.7,15.1,83,0.0,3.01,1.25,1.13,23.1,11.0,59,100,87,15.9,49.7,2025-05-30
63,14.8,16.7,15.9,13.5,15.0,14.4,79,0.0,5.94,0.8,1.63,10.4,8.0,57,100,81,20.1,51.1,2025-05-31
53,16.1,22.8,18.6,15.5,24.0,19.2,75,8097.38,11.98,8.0,2.45,1.6,3.0,33,100,62,9.9,27.4,2025-06-01
3,16.1,24.0,20.1,17.1,26.7,21.8,81,39671.88,18.88,7.95,3.45,0.0,0.0,25,96,54,8.1,28.8,2025-06-02
63,18.1,20.1,19.0,19.4,22.6,20.5,91,0.0,3.3,0.95,0.87,26.2,13.0,59,100,83,10.6,34.9,2025-06-03
61,18.0,26.1,21.8,20.2,30.8,24.7,85,31073.73,18.4,8.25,3.51,2.5,3.0,17,58,38,7.8,28.8,2025-06-04
55,18.6,26.8,22.3,20.2,30.1,24.2,73,43044.56,26.67,8.15,5.08,1.2,1.0,0,58,15,10.5,44.6,2025-06-05
3,17.0,27.0,21.7,17.6,30.5,23.1,74,40868.19,24.48,7.2,4.85,0.0,0.0,10,85,48,14.1,57.6,2025-06-06
3,20.0,26.6,22.6,20.8,29.9,24.4,73,31442.11,20.4,7.85,4.25,0.0,0.0,13,100,50,12.7,41.0,2025-06-07
51,18.7,26.0,21.5,21.3,29.0,24.1,86,10542.06,10.34,6.15,2.17,0.2,2.0,17,100,76,9.0,27.0,2025-06-08
53,19.3,24.9,21.5,21.6,28.5,23.8,83,11321.22,14.52,6.25,2.87,1.8,6.0,40,100,82,9.8,37.4,2025-06-09
63,19.0,21.1,20.1,21.4,24.6,23.2,96,0.0,3.49,1.0,0.81,11.2,15.0,39,100,75,7.2,18.7,2025-06-10
63,20.2,23.2,21.4,22.9,27.4,24.9,95,0.0,4.98,1.25,1.06,23.5,17.0,38,100,69,8.7,22.7,2025-06-11
3,19.6,27.8,23.1,23.0,31.6,26.0,78,31595.42,20.74,7.15,4.16,0.0,0.0,12,100,50,9.7,25.2,2025-06-12
3,19.4,25.4,22.0,21.7,27.9,24.3,80,22942.71,15.87,6.7,3.13,0.0,0.0,23,96,48,7.6,24.1,2025-06-13
61,20.6,24.8,21.8,22.4,27.2,23.8,85,0.0,7.86,3.6,1.83,8.3,12.0,32,100,76,17.8,46.8,2025-06-14
63,22.9,29.2,25.4,25.5,34.9,30.0,88,15758.59,11.81,4.2,2.53,16.8,9.0,18,100,54,15.5,58.0,2025-06-15
51,23.2,29.0,25.4,28.3,33.9,30.3,87,24431.49,16.03,8.15,3.23,0.1,1.0,0,100,34,7.7,34.2,2025-06-16
3,22.6,31.9,26.6,27.2,39.7,32.2,85,42411.68,25.14,8.3,5.15,0.0,0.0,1,100,28,7.6,31.3,2025-06-17
1,23.2,32.5,26.9,27.4,38.8,32.0,80,43570.57,24.67,8.35,5.16,0.0,0.0,4,48,19,8.2,33.1,2025-06-18
3,21.7,32.0,25.8,25.8,38.4,30.8,84,40115.85,24.48,8.4,4.95,0.0,0.0,0,96,23,8.7,34.2,2025-06-19
